# CLF5605 - JP Full Model (clf5605-jp-f)
# Experimental data at Re ~ 20,000, M ~ 0.607
# Source: NASA/TM-20240004230, Table A.2
# Columns: alpha_deg, Re, M, Cl, Cl_std, Cd, Cd_std
# Note: "(repeat)" entries are repeated measurements at the same AoA
alpha_deg   Re      M       Cl          Cl_std      Cd          Cd_std
-2.0        19959   0.609   0.147123    0.001642    0.073853    0.001829
 0.0        19841   0.606   0.368381    0.006223    0.067625    0.002056
 0.0        20038   0.605   0.392968    0.009235    0.062454    0.002231
 2.0        19854   0.607   0.540916    0.007637    0.071504    0.001733
 3.0        19933   0.609   0.632501    0.010257    0.076491    0.002159
 4.0        19827   0.607   0.711044    0.009151    0.083471    0.001496
 5.0        19862   0.609   0.777961    0.008268    0.094723    0.002331
 6.0        19800   0.607   0.854421    0.011096    0.110233    0.003031
 6.0        19889   0.599   0.913060    0.010201    0.117307    0.002060
